referral_id,referrer_id,referee_id,referral_source,referral_source_category,referral_at,transaction_id,transaction_status,transaction_type,reward_value,description,is_reward_granted,is_business_logic_valid
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
79096365084a0d3f51ad9a0725f6708f,nan,cdd490a959231b4f9014cc18f737a300,Draft Transaction,Offline,2024-05-02 06:34:13+00:00,nan,,,,,,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
61717d106753428549731b63554d70a5,4acfa96cb521b6963b50bcef95bee485,c50f607bbae83f7c53551476e11997eb,Lead,Lead,2024-05-13 06:31:40+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,False,False
